¿œ¿⁄,øıªÛ√‚¿Âº“,π∞±›¿æ,µø∏È,ø¯µø∏È,ªÛ∫œ∏È,«œ∫œ∏È,¡ﬂæ”µø,ªÔº∫µø,∞≠º≠µø,¥ˆ∞Ëµø,¿Ã√µ,»≠¡¶,øıªÛ¡§ºˆ¿Â
2017-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,6.5,13,8,5,8.5,14,6,8,4,8,7.5,4.5,10
2017-04-02,0.5,0,0,0,0,0,0,0,1,0,0,0,0.5
2017-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-05,18.5,25,11,9,15.5,15,12,15,26,17,12,21.5,23
2017-04-06,38,79,49,39,42.5,43,55,59,59,38,70,46.5,38.5
2017-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-10,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-04-11,19,17,17,14,16,17,15,16,14,17,18,16,18
2017-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-15,0.5,0,0,0,1,1,0,0,1,0,1,0.5,0.5
2017-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-17,32,33,30,18,34,31,28,29,33,32,28,24.5,32
2017-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2017-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-22,0,0,1,1,1,0,0,0,0,0,1.5,0,0
2017-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-26,1.5,2,2,2,0.5,1,1,2,0,2,2,1.5,2
2017-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-05,5,8,8,8,8.5,3,9,7,12,7,7.5,7,8.5
2017-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-09,16.5,13,16,14,16,14,16,14,15,17,17,18,16.5
2017-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2017-05-11,0,0,0,0,0,0,0,0,0,0,1.5,0,0
2017-05-12,10,13,7,7,12.5,8,7,12,7,9,9.5,7.5,8
2017-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0
